"PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","C3","RP","EM","RI","OI","FU","FP","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","DL","D2","EA","PG","WC","WE","SC","GA","PM","OA","HC","HP","DA","UT"
"J","RIPAN, R; FINTA, Z; VARHELYI, C",NA,NA,NA,"RIPAN, R; FINTA, Z; VARHELYI, C",NA,NA,"ALPHA-DIOXIMINE COMPLEXES OF TRANSITION-METALS .38. [CO(DH)2(NO2)(CN)] ION AND ITS BASIC HYDROLYSIS KINETICS","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"37","44",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","MACAROVI.CG; PERTE, E; STRAJESC.M; BIROU, M",NA,NA,NA,"MACAROVI.CG; PERTE, E; STRAJESC.M; BIROU, M",NA,NA,"CONTRIBUTION TO STUDY OF BINARY-SYSTEM IN2O3-TIO2","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"49","55",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","NEGOIU, D; PARUTA, L",NA,NA,NA,"NEGOIU, D; PARUTA, L",NA,NA,"COMPLEX COMBINATIONS OF TRANSITION METALS WITH TERTIARY STIBINES .2. SPECTRAL STUDIES OF PD(II) COMPLEX COMBINATIONS WITH TRITROLYLSTIBINES","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"57","66",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","DRAGUTAN, I; DRAGHICI, C; HANES, A; DUMITRIU, A; CIORANES.E; NENITZES.CD",NA,NA,NA,"DRAGUTAN, I; DRAGHICI, C; HANES, A; DUMITRIU, A; CIORANES.E; NENITZES.CD",NA,NA,"CARBONIUM-ION REACTIONS .8. BENZOBICYCLOOCTENE DERIVATIVES THROUGH PI-ROUTE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"67","78",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","GLATZ, AM; WERTHEIM.V; BADEA, F",NA,NA,NA,"GLATZ, AM; WERTHEIM.V; BADEA, F",NA,NA,"ALUMINUM-CHLORIDE CATALYZED REACTIONS OF UNSATURATED ACIDS WITH BENZENE .6. REACTION OF CYCLOPENTYLACRYLIC ACID","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"87","98",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","IONESCU, I",NA,NA,NA,"IONESCU, I",NA,NA,"NOTES ON PROPERTIES OF CONCRETE WITH SYNTHETIC RESINS WITHOUT MINERAL BINDERS .1.","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"99","&",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","NANU, I; ANDREI, C",NA,NA,NA,"NANU, I; ANDREI, C",NA,NA,"COPOLYMERS OF CONJUGATED DIENES WITH MONOESTERS OF MALEIC ACID","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"115","124",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","DIMONIE, V; DONESCU, D; GAVAT, I",NA,NA,NA,"DIMONIE, V; DONESCU, D; GAVAT, I",NA,NA,"COPOLYMERIZATION OF EPICHLORHYDRIN AND PROPYLENE-OXIDE WITH ALET3-H2O CATALYTIC SYSTEM","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"125","130",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","SPIRIDON, S; GRIGORES.C",NA,NA,NA,"SPIRIDON, S; GRIGORES.C",NA,NA,"INFLUENCE OF CROSSLINKAGE OF ANION-EXCHANGERS ON DISTRIBUTION COEFFICIENT OF SAMARIUM IN MIXED SYSTEMS OF ORGANIC-SOLVENT AND MINERAL ACID","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"131","139",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","FACSKO, G; NEMES, M",NA,NA,NA,"FACSKO, G; NEMES, M",NA,NA,"AMPEROMETRIC-TITRATION OF MERCURY(II) IN STRONGLY ALKALINE-MEDIUM WITH THIOACETAMIDE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"141","144",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","HOPIRTEAN, E; LITEANU, C",NA,NA,NA,"HOPIRTEAN, E; LITEANU, C",NA,NA,"STUDIES ON ELECTROANALYTICAL BEHAVIOR OF MEMBRANE-ELECTRODES UNDER CURRENT .5. E-PH ELECTRODE FUNCTION AD USE OF PVC + TRICRESYLPHOSPHATE MEMBRANE IN ACID-BASE POTENTIOMETRIC TITRATION AT CONSTANT DIRECT-CURRENT","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"145","156",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","FLOREA, I",NA,NA,NA,"FLOREA, I",NA,NA,"SPECTROPHOTOMETRIC DETERMINATION OF BENZIDINE AND ORTHO TOLUIDINE WITH SODIUM-HYPOCHLORITE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","1",NA,NA,NA,NA,"157","161",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","SAHINI, VE; CRAIU, M; IVANA, E",NA,NA,NA,"SAHINI, VE; CRAIU, M; IVANA, E",NA,NA,"SPECTROGRAPHIC DETERMINATION OF TRACES OF COPPER, LEAD, CHROMIUM, NICKEL, MOLYBDENUM AND COBALT IN NATURAL-WATERS","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"165","167",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","BARBULESCU, N",NA,NA,NA,"BARBULESCU, N",NA,NA,"SURFACE-TENSION OF FLUIDS","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"169","180",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","ZUCA, S; COSTIN, R; OLTEANU, M",NA,NA,NA,"ZUCA, S; COSTIN, R; OLTEANU, M",NA,NA,"INFLUENCE OF NACL AND LIF ON DENSITY AND VISCOSITY OF MOLTEN NA3ALF6-BACL2 SYSTEM","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"181","186",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","PETRESCU, N; GANOVICI, L",NA,NA,NA,"PETRESCU, N; GANOVICI, L",NA,NA,"DIFFUSIVE ATOMIC TRANSPORT IN MOLTEN ANTIMONY","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"187","196",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","STERNBERG, S; HERDLICK.C",NA,NA,NA,"STERNBERG, S; HERDLICK.C",NA,NA,"CHRONOPOTENTIOMETRIC METHOD AT HIGH-TEMPERATURES","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"197","206",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","BOURCEANU, G; POPA, GH; SANDULOV.M; ABABI, V",NA,NA,NA,"BOURCEANU, G; POPA, GH; SANDULOV.M; ABABI, V",NA,NA,"TRANSFORMATION OF TOLUENE-WATER MIXTURE IN HIGH-FREQUENCY DISCHARGE PLASMA .1.","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"207","212",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","BANCIU, A; ELIAN, M; BUCUR, A; GEORGESC.D; CIORANES.E; NENITZES.CD",NA,NA,NA,"BANCIU, A; ELIAN, M; BUCUR, A; GEORGESC.D; CIORANES.E; NENITZES.CD",NA,NA,"CARBONIUM-ION REACTIONS .9. SYNTHESIS AND ACETOLYSIS OF 2-3.5-6-DIBENZOBICYCLO [5.1.0]OCTA-2.5-DIEN-4-YL-METHYL TOSYLATE AND 2-3.5-6-DIBENZOBICYCLO[5.1.0]OCTA-2.5-DIEN-4-YL-ETHYL-BETA-TOSYLATE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"213","232",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","BARBULESCU, N; LECA, M",NA,NA,NA,"BARBULESCU, N; LECA, M",NA,NA,"ELIMINATION-REACTIONS IN 8-R-TRICYCLO [7.3.1.02,7]TRIDECANE SERIES .3. DEHYDRATION OF 8-R-TRICYCLO[7.3.1.02,7]TRIDECANE-2,13-DIOLS","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"233","248",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","CARJE, M",NA,NA,NA,"CARJE, M",NA,NA,"1,2,3,4-TETRAHYDROACRIDINE-9-CARBOXYLIC ACID-DERIVATIVES .2. ESTERS AND THIOESTERS","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"249","253",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","RASANU, N; MAIOR, O",NA,NA,NA,"RASANU, N; MAIOR, O",NA,NA,"SYNTHESIS BASED ON FORMYL FURO (2,3-B) BENZOTHIACHROMONE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"255","258",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","SIMIONESCU, C; VASILIUO.C; NEGULIAN.C",NA,NA,NA,"SIMIONESCU, C; VASILIUO.C; NEGULIAN.C",NA,NA,"SYNTHESES OF NEW POLYMERS BY DESTRUCTIVE METHODS .2. MECHANOCHEMICAL COMPLEXATION AND COMPLEXATION BY IRRADIATION USING CO-60 GAMMA-RAYS IN SYSTEM - POLY(ETHYLENETEREPHTHALATE), ETHYLENEDIAMINE AND METALLIC SALTS","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"259","281",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","BOIESHAN, V; FELDMAN, D",NA,NA,NA,"BOIESHAN, V; FELDMAN, D",NA,NA,"EFFECT OF SPRAY DRYING CONDITIONS ON PROPERTIES OF PASTE-FORMING POLYVINYL-CHLORIDE .1.","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"283","292",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","IONESCU, I",NA,NA,NA,"IONESCU, I",NA,NA,"REMARKS ON PROPERTIES OF CONCRETES REINFORCED BY SYNTHETIC RESINS WITH MINERAL BINDERS .2.","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"293","320",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","TEODORES.G",NA,NA,NA,"TEODORES.G",NA,NA,"DETERMINATION METHODS FOR BETA,BETA'-DICHLORODIETHYLAMINE - VISIBLE AND INFRARED-SPECTRUM OF COMPOUNDS RESULTING FROM BETA,BETA' DICHLORODIETHYLAMINE AND AMMONIUM REINECKATE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"321","327",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","CONSTANTINESCU, C; FISEL, S",NA,NA,NA,"CONSTANTINESCU, C; FISEL, S",NA,NA,"SPECTROPHOTOMETRIC DETERMINATION OF THALLIUM WITH META NITRAL GREEN","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","2",NA,NA,NA,NA,"329","335",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","FACSKO, G; PORAICU, M",NA,NA,NA,"FACSKO, G; PORAICU, M",NA,NA,"KINETIC STUDY OF OXIDO-REDUCTION REACTIONS, BY MEANS OF VIBRATED ELECTRODE TECHNIQUE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"341","351",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","ZADOR, L; MURESAN, I",NA,NA,NA,"ZADOR, L; MURESAN, I",NA,NA,"VISCOSIMETRIC STUDY OF POLYACRYLIC-ACID IN WATER-ETHANOL MIXTURES","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"353","361",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","BARBOIU, V",NA,NA,NA,"BARBOIU, V",NA,NA,"MAGNITUDES AND SIGNS OF C-13 COUPLING-CONSTANTS IN SEVERAL ORGANIC-MOLECULES BY DOUBLE-RESONANCE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"363","370",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","TEOREANU, I; MUNTEAN, M",NA,NA,NA,"TEOREANU, I; MUNTEAN, M",NA,NA,"STUDY OF HARDENING PROCESSES IN TRICALCIUM SILICATE-WATER-ELECTROLYTE SYSTEM","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"371","379",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","SOLACOLU, S; RUSU, E",NA,NA,NA,"SOLACOLU, S; RUSU, E",NA,NA,"ASPECTS OF VITREOUS PHASE SEPARATION PROCESS IN FE2O3-BAO-B2O3 SYSTEM","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"381","385",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","NEGOIU, D; PARLOG, C; SANDULES.D",NA,NA,NA,"NEGOIU, D; PARLOG, C; SANDULES.D",NA,NA,"NEW COORDINATE COMPOUNDS WITH MOLECULAR NITROGEN .1. SYNTHESIS AND CHARACTERISTIC PROPERTIES OF SOME DINITROGEN COMPOUNDS OF COBALT, NICKEL, IRON WITH TRIARYL-PHOSPHINES, TRIARYL-ARSINES AND TRIARYL-STIBINES","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"387","394",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","PERTE, E; STRAJESC.M",NA,NA,NA,"PERTE, E; STRAJESC.M",NA,NA,"GALLIUM METATITANATE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"395","398",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","VOICULESCU, N; AIRINEI, A; POPESCU, I",NA,NA,NA,"VOICULESCU, N; AIRINEI, A; POPESCU, I",NA,NA,"REACTIONS OF COORDINATED LIGANDS .4. SPECTROSCOPIC AND THERMOGRAVIMETRIC STUDY OF COORDINATED DIMETHYLGLYOXIME ORGANIC ALUMINUM COMBINATIONS","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"399","405",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","MANOK, F; VARHELYI, C; OPREAN, R",NA,NA,NA,"MANOK, F; VARHELYI, C; OPREAN, R",NA,NA,"KINETICS AND MECHANISM OF OXIDATION OF URANIUM (IV) WITH SODIUM PERSULFATE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"407","413",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","SOLACOLU, I; SANDULES.D; DRAGULES.C",NA,NA,NA,"SOLACOLU, I; SANDULES.D; DRAGULES.C",NA,NA,"CRYSTAL-STRUCTURE AND INTERACTION WITH HYDROCARBON MOLECULE ENCLOSED IN M(SCN)2(4-MEPY)4.PARAXYLENE TYPE CLATHRATES","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"415","427",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","CORNEA, F; FULEA, C; MOLDOVEA.S",NA,NA,NA,"CORNEA, F; FULEA, C; MOLDOVEA.S",NA,NA,"MOLECULAR THIOAMIDE COMPLEXES .2. CHARGE-TRANSFER COMPLEXES OF PHENYLTHIOACETAMIDE AND PHENYLTHIOACETOPIPERIDIDE WITH IODINE","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"429","435",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
"J","PETROVANU, M; SAUCIUC, A; ZUGRAVESCU, I",NA,NA,NA,"PETROVANU, M; SAUCIUC, A; ZUGRAVESCU, I",NA,NA,"PHTHALAZINIUM YLIDS .6. ACTION OF DIMETHYLACETYLENEDICARBOXYLATE ON DISUBSTITUTED AT EXOCYCLIC CARBON PHTHALAZINIUM-YLIDS","REVUE ROUMAINE DE CHIMIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,"19","3",NA,NA,NA,NA,"437","442",NA,NA,NA,NA,NA,NA,"Chemistry, Multidisciplinary",NA,"Chemistry",NA,NA,NA,NA,NA,NA,NA
